Id,Name,Description,Created on,Updated on,Owner,License,Includes wiki,Forks count,Issues count,Stars count,Watchers count,Repo URL,Commits URL,Languages URL,Views,Clones,Languages
348947266,ExtendedConv.jl,Julia implementation for extended convolutional layers,2021-03-18T05:03:03Z,2021-08-16T19:16:16Z,slimgroup,MIT License,True,0,0,3,3,https://api.github.com/repos/slimgroup/ExtendedConv.jl,https://api.github.com/repos/slimgroup/ExtendedConv.jl/commits,https://api.github.com/repos/slimgroup/ExtendedConv.jl/languages,2,2,Julia
327684959,FastApproximateInference.jl,"Code to reproduce results in ""Preconditioned training of normalizing flows for variational inference in inverse problems""",2021-01-07T17:48:02Z,2021-08-16T18:57:01Z,slimgroup,MIT License,True,1,0,2,2,https://api.github.com/repos/slimgroup/FastApproximateInference.jl,https://api.github.com/repos/slimgroup/FastApproximateInference.jl/commits,https://api.github.com/repos/slimgroup/FastApproximateInference.jl/languages,11,3,Julia
372868079,FNO4CO2,,2021-06-01T14:57:02Z,2021-09-01T04:12:42Z,slimgroup,MIT License,True,0,0,1,1,https://api.github.com/repos/slimgroup/FNO4CO2,https://api.github.com/repos/slimgroup/FNO4CO2/commits,https://api.github.com/repos/slimgroup/FNO4CO2/languages,5,2,Julia
93676169,GenSPGL.jl,Generalized SPGL,2017-06-07T20:22:38Z,2021-04-29T11:39:38Z,slimgroup,MIT License,True,3,2,6,6,https://api.github.com/repos/slimgroup/GenSPGL.jl,https://api.github.com/repos/slimgroup/GenSPGL.jl/commits,https://api.github.com/repos/slimgroup/GenSPGL.jl/languages,7,7,"Julia, MATLAB"
108477916,HiRedis.jl,Julia Redis client that wraps the hiredis C library.,2017-10-26T23:54:49Z,2017-10-26T23:54:50Z,slimgroup,Other,True,0,0,0,0,https://api.github.com/repos/slimgroup/HiRedis.jl,https://api.github.com/repos/slimgroup/HiRedis.jl/commits,https://api.github.com/repos/slimgroup/HiRedis.jl/languages,0,0,Julia
376881077,ImageGather.jl,Image gather tools,2021-06-14T16:02:03Z,2021-06-25T18:52:01Z,slimgroup,MIT License,True,0,0,1,1,https://api.github.com/repos/slimgroup/ImageGather.jl,https://api.github.com/repos/slimgroup/ImageGather.jl/commits,https://api.github.com/repos/slimgroup/ImageGather.jl/languages,1,1,"Julia, Python"
308112473,INN_Velocity-Migration,Invertible networks to generate velocity models from RTM images,2020-10-28T18:53:13Z,2020-11-06T18:22:02Z,slimgroup,MIT License,True,0,0,0,0,https://api.github.com/repos/slimgroup/INN_Velocity-Migration,https://api.github.com/repos/slimgroup/INN_Velocity-Migration/commits,https://api.github.com/repos/slimgroup/INN_Velocity-Migration/languages,1,0,Julia
239018318,InvertibleNetworks.jl,A Julia framework for invertible neural networks,2020-02-07T20:38:09Z,2021-10-31T12:36:49Z,slimgroup,MIT License,True,7,4,64,64,https://api.github.com/repos/slimgroup/InvertibleNetworks.jl,https://api.github.com/repos/slimgroup/InvertibleNetworks.jl/commits,https://api.github.com/repos/slimgroup/InvertibleNetworks.jl/languages,52,22,Julia
73747583,JOLI.jl,Julia Operators LIbrary,2016-11-14T21:16:51Z,2021-10-19T02:03:21Z,slimgroup,MIT License,True,4,1,14,14,https://api.github.com/repos/slimgroup/JOLI.jl,https://api.github.com/repos/slimgroup/JOLI.jl/commits,https://api.github.com/repos/slimgroup/JOLI.jl/languages,10,16,"Julia, Jupyter Notebook"
195471997,JOLI4Flux.jl,Flux extensions for JOLI,2019-07-05T22:06:54Z,2020-10-27T20:57:06Z,slimgroup,MIT License,True,2,0,0,0,https://api.github.com/repos/slimgroup/JOLI4Flux.jl,https://api.github.com/repos/slimgroup/JOLI4Flux.jl/commits,https://api.github.com/repos/slimgroup/JOLI4Flux.jl/languages,0,1,Julia
113505452,JUDI.jl,Julia Devito inversion.,2017-12-07T22:35:16Z,2021-11-01T16:15:34Z,slimgroup,MIT License,True,14,6,50,50,https://api.github.com/repos/slimgroup/JUDI.jl,https://api.github.com/repos/slimgroup/JUDI.jl/commits,https://api.github.com/repos/slimgroup/JUDI.jl/languages,44,30,"Julia, Python, Dockerfile, Batchfile, Shell, Makefile"
392811069,JUDI4Cloud.jl,JUDI parallelism with Azure batch,2021-08-04T19:57:40Z,2021-09-16T21:23:00Z,slimgroup,MIT License,True,2,0,2,2,https://api.github.com/repos/slimgroup/JUDI4Cloud.jl,https://api.github.com/repos/slimgroup/JUDI4Cloud.jl/commits,https://api.github.com/repos/slimgroup/JUDI4Cloud.jl/languages,4,16,Julia
